Title,Sal_min,Sal_max,Currency,Employer,Location,Description,Resource,Link
Видеограф / Автор-ведущий YouTube-каналов,100000.0,,руб.,ООО Айметро,"Москва, Варшавская","Качественный и креативный монтаж, полный цикл пост-обработки. Самостоятельно в качестве режиссера-монтажа осуществлять монтаж сюжетов, видеороликов. Желательно SEO оптимизация...Создание сопутствующего контента для SMM (видео для VKontakte, Facebook. Instagram). Не всегда, по просьбам SMM. Навыки motion и sound-дизайна...",hh.ru,https://hh.ru/vacancy/51853147?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Режиссер монтажа,,,,AVM Media,"Москва, ВДНХ и еще 1 ","Обязанности: монтаж видеосюжетов, анонсов, тематических видеонарезок, мастера.Владение пакетом Adobe (Premiere, AfterEffects, Photoshop). Умение работать с различными форматами видео, звуком. Умение монтировать логично, динамично, использовать спецэффекты/переходы...",hh.ru,https://hh.ru/vacancy/51891496?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Режиссер монтажа,,,,Rutube,"Москва, Проспект Мира и еще 1 ","Монтаж промо-роликов, анонсов, трейлеров, сникпиков, тизеров. Переформатирование роликов (ресайзы). Конвертация и монтаж съемочного материала. Экспорт съемочного материала для цветокоррекции...Релевантный опыт работы от 2х лет (в случае талантливого самородка допустимо без опыта, на основании идеально выполненного ТЗ). ",hh.ru,https://hh.ru/vacancy/51911583?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Исполнительный продюсер / Продюсер видео контента,90000.0,120000.0,руб.,ИП Саковская Людмила Владимировна,"Москва, Павелецкая и еще 1 ","Проведение кастингов. Контроль работы всего цикла производства (в тч ауторса (моушен-дизайнеров, монтажеров). Контроль качества контента. Ведение документооборота по проектам.Успешный опыт управления проектами в области видеопроизводства и рекламы. Умение собрать команду и построить в ней четкий рабочий процесс. ",hh.ru,https://hh.ru/vacancy/51620058?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Исполнительный продюсер / head of video production (удаленно),,,,ООО Планета Творчества,Москва,"Управление командой отдела производства образовательного видео-контента (координатор, оператор, моушн-дизайнер, монтажеры), а также фрилансерами, с целью организации производства видеоматериалов...Успешный опыт управления проектами в области видеопроизводства. Экспертное понимание съемочного процесса. Умение собрать команду и построить в ней четкий творчески...",hh.ru,https://hh.ru/vacancy/51865284?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Motion Designer / CG Artist / Аниматор / Режиссер-монтажа в команду,60000.0,,руб.,AIM PRODUCTION,Москва,"Видеомонтаж материала заказчика. Поиск видеоматериала, графических элементов, шаблонов, музыки в стоках. Цветокоррекция, работа со звуком и графикой. Монтаж онлайн-курсов...Быстрый интернет и своя техника для монтажа видео в 4К. Необходимо наличие собственных готовых работ. Знание Английского на уровне...",hh.ru,https://hh.ru/vacancy/51903321?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Креативный продюсер для блогера,60000.0,250000.0,руб.,Иванова Ирина Витальевна,Москва,"Указывать правки по монтажу. - Способность срежессировать и снять короткий рекламный ролик. - Поиск людей под задачи при необходимости (сценарист, монтажер и...Разборчивость в юморе (понимать, что смешно для аудитории, а что вырезать). Понимание специфики вирусных видео и платформ. Креативность. Навыки режиссуры. ",hh.ru,https://hh.ru/vacancy/51919617?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Оператор-монтажер,,,,BORK,Москва,"Подготовка и проведение видеосъемок для социальных сетей. Монтаж видеоматериалов и кадрирование под различные форматы. Подбор и подстановка музыки, голосовой озвучки...Опыт в области видеосъемки и монтажа не менее 2х лет, наличие портфолио работ. Профессиональное владение Adobe Creative Cloud (Photoshop...",hh.ru,https://hh.ru/vacancy/50531464?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Режиссер монтажа на телеканал Че,,,,ЧЕ!,"Москва, Динамо","Отсмотр контента. Создание отбора под монтаж. Монтаж аудио визуальных произведений (короткая форма). Съемка промо-роликов. Подбор саунд сопровождения. Умение подбирать и работать с дополнительными плагинами, футажами и fx звуками. Умение снимать на видео камеру приветствуется. Наличие портфолио обязательно.",hh.ru,https://hh.ru/vacancy/49030900?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Видеомейкер,,,,Валта,Москва,"Постановка студийных и выездных съемок, корпоративных и рекламных видео роликов различного уровня сложности. Участие в разработке творческих сценариев и декораций...Высшее образование по профессии видеооператор, режиссер монтажа, монтажер. Приветствуется дополнительное образование в области производства видео и кинофильмов, поскольку в ваших...",hh.ru,https://hh.ru/vacancy/51769309?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Руководитель студии видеодизайна,,,,Fix Price,"Москва, Динамо и еще 1 ","Управление проектами по созданию видео-роликов «под ключ»: рекламные видео, презентационные ролики, корпоративные фильмы, видео-контент для SMM. Навыки написания текстов и подготовки сценариев. Навыки фото и видео съемки. Опыт работы с рекламными агентствами и продакшн студиями. ",hh.ru,https://hh.ru/vacancy/51264970?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Режиссер монтажа,60000.0,,руб.,ООО Эртивиай Продакшн,"Москва, Автозаводская","Монтаж новостных выпусков. Создание новостных и тематических видеороликов, сюжетов, репортажей, интервью (монтаж, цветокоррекция, работа со звуком, с различными форматами видео...Знание процесса телепроизводства. Отличное знание программ программ нелинейного монтажа, конвертеров видео. Творческий и ответственный подход к работе. Дисциплинированность, самостоятельность, быстрая...",hh.ru,https://hh.ru/vacancy/50577518?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Старший режиссер монтажа видеосервиса PREMIER,,,,ООО Premier,Москва,"Производство ресайзов и кат версий трейлеров для рекламных кампаний и сайта Премьер. Монтаж видеоконтента для социальных сетей - топики серий, сникпики...Опыт работы по специальности от 2 лет. Знание графических программ Adobe Premier на хорошем уровне, Adobe After Effects на базовом...",hh.ru,https://hh.ru/vacancy/48180927?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Видеомонтажер на YouTube-проект,50000.0,100000.0,руб.,Content Ideas Production,Москва,"Монтаж видеороликов для молодежного Youtube канала (в стиле 123go, Ratata и т.д.). Работа со звуком (подбор музыки и...Вы отлично владеете Adobe Premier и After Effects. Вы обладаете художественным вкусом и знаниями принципов цветокоррекции. Вы обладаете навыками режиссуры...",hh.ru,https://hh.ru/vacancy/51705371?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Контент-менеджер (продюсер/методист),150000.0,,руб.,Наймиум,Москва,"Тебе не составит труда придумать сценарий для какой-либо истории и реализовать съемки. Упаковывать имеющийся контент и превращать его в...У тебя есть опыт создания контента в виде схем, видео, комиксов, короткометражек, инфографики и других интересных вещей от 3 лет. ",hh.ru,https://hh.ru/vacancy/50833450?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Оцифровщик/Видеомонтажер,40000.0,75000.0,руб.,Filmtransfer,"Москва, Бибирево","Оцифровка видеокассет и аудиокассет различных форматов‚ аудиокатушек, грампластинок. Видеомонтаж, обработка звука‚ кодирование.Знания форматов аналоговых видео и аудиоматериалов. Уверенная работа с воспроизводящим видео и аудиооборудованием. Навыки оцифровки аналоговых видео и аудиоматериалов, конвертирования...",hh.ru,https://hh.ru/vacancy/51740319?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Видеомонтажер,90000.0,,руб.,ООО Проф Бьюти,"Москва, Алексеевская",Отбор материала для монтажа. — Поиск материала на стоках. — Монтаж видеороликов для соц. сетей (Ютуб и Инстаграм). — Обработка звука....портфолио (достаточно 1–2 видео). Прикрепляйте ссылку на портфолио в сопроводительном письме. Плюсом будет умение снимать видео и наличие своего...,hh.ru,https://hh.ru/vacancy/51615329?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Монтажер,80000.0,,руб.,ООО TRUE INTELLIGENCE,Москва,"Монтаж рекламных роликов, корпоративных видео и пр.Опыт работы монтажером (производство рекламы или на ТВ). * Владение Adobe Premiere Pro на профессиональном уровне. * Опыт работы в Adobe After...",hh.ru,https://hh.ru/vacancy/51633294?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Ассистент режиссера,50000.0,,руб.,АНО Редакция Телеканала Совета Федерации,Москва,"...видео для монтажа. Работа с монтажерами над выпуском новостей. Отсмотр видео и аудио материалов, контроль качества и соответствия. Выдача видео...Внимательность. Пунктуальность. Опыт работы в прямом эфире от 1 года. Знание принципов работы новостной редакции. Стрессоустойчивость.",hh.ru,https://hh.ru/vacancy/51652545?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Видеомонтажер (Департамент дистрибуции контента и технологий Rambler&Co),,,,Rambler&Co,"Москва, Тульская",Монтаж редакционных видеоматериалов. Разработка и монтаж видеоматериалов по требованиям проекта. Разработка концепций редакционных видеоматериалов. Графическое оформление аудиовизуальных произведений. Опыт видеомонтажа 1-3 года. Владение Adobe Premiere Pro. Желательно знание Adobe Photoshop и Adobe After Effects.,hh.ru,https://hh.ru/vacancy/51650637?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Режиссёр монтажа,,,,"Телеканал Россия, ГТК","Москва, Савёловская","...соответствии со сценарным планом. Самостоятельный монтаж видеоматериалов (сюжеты, синхроны и б/з). Контроль соблюдения установленных параметров видео и звукового сигнала.Знание программ: final cut pro 7, adobe premiere, adobe after effects. Опыт работы монтажером на ТВ не менее 3 лет. ",hh.ru,https://hh.ru/vacancy/51091142?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Видеооператор-монтажер,,80000.0,руб.,,Москва,"Съемка и монтаж качественного контента. - Съемка и монтаж стратегических сессий, обращений высшего руководства. - Корпоративное ТВ (анимация новостей под телевизоры: бегущая...Наличие техники (звук, свет, камеры, стабилизаторы, штативы). - Отличные навыки современного монтажа. - Мобильность, готовность к командировкам.",hh.ru,https://hh.ru/vacancy/51050072?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Режиссёр монтажа англоязычного YouTube-канала,,,,ИП Мелехин Илья Евгеньевич,Москва,"Подробный монтажный лист. — Также для удобства и скорости сборки мы сами собираем рыбу по звуку из исходников и передаём в...Иногда под сценарии придумывается анимация, нужно уметь реализовывать подобные вещи. Пример видео с графикой на одном из наших каналов: https...",hh.ru,https://hh.ru/vacancy/50952750?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Видеооператор-монтажёр,20000.0,60000.0,руб.,Bureau1786,"Москва, Сокол","Снимать видео и писать звук. Unity/UE.Обязательно нужно знать и уметь: Самостоятельно строить кадр, ставить камеру и свет. Монтировать видео - premiere. Очень полезно будет знать и...",hh.ru,https://hh.ru/vacancy/50929488?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Монтажер / моушн-дизайнер,,25000.0,руб.,ИП Удод Максим Олегович,Москва,"И наложение фоновой музыки для динамики.  разовые задачи (например, вырезать нужный кусок из видео для пополнения кейсов по таймингу).  имеешь опыт в моушн-дизайне и готов развиваться дальше.  обязательно работаешь в Prеmier Pro (After Effects будет приемущестом).  ",hh.ru,https://hh.ru/vacancy/50790521?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Фотограф/оператор/монтажер видеоматериалов,,,,ГБУ Малый бизнес Москвы,"Москва, Александровский сад и еще 2 ","...видео) и т.д. Монтаж видеоматериалов: репортажей, интервью, курсов, промороликов организации для размещения на ресурсах организации (сайт, соцсети), ТВ, видео...Съемка фото и видео, монтаж видеоматериалов, работа со светом, запись звука, обработка фотографий, создание инфографики. Опыт создания рекламных роликов для...",hh.ru,https://hh.ru/vacancy/50847448?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Видеооператор-монтажер,40000.0,100000.0,руб.,ООО Жуцзы,Москва,"Отснятие и монтаж видео-роликов. Монтировать как боженька (Реклама, клипы, документалки). Подбирать топовую музыку, делать первичный саунд-дизайн, сводить голос. Знание принципов композиции, типографики, моушн-типографики, анимации. Понимание принципов монтажа и кадрирования видео под ресайзы. Способность к самостоятельному креативу, «насмотренность...",hh.ru,https://hh.ru/vacancy/50847312?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Видеоредактор Glamour,,,,АО Condé Nast,"Москва, Театральная","Распределение объемов работы между режиссерами монтажа и контроль качества и сроков выполнения. Работа с внештатными операторами и режиссерами по подготовке...Знание видео-производства, умение четко поставить задачу продюсеру и другим участникам съемочного процесса. Обязательно наличие релевантного опыта (желательно в медиа...",hh.ru,https://hh.ru/vacancy/50038206?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Видеоредактор Tatler,,,,АО Condé Nast,"Москва, Театральная","Распределение объемов работы между режиссерами монтажа и контроль качества и сроков выполнения. Работа с внештатными операторами и режиссерами по подготовке...Знание видео-производства, умение четко поставить задачу продюсеру и другим участникам съемочного процесса. Обязательно наличие релевантного опыта (желательно в медиа...",hh.ru,https://hh.ru/vacancy/50081769?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Видеомонтажер TikTok ( Удалённо ),40000.0,120000.0,руб.,Филиппов Александр Вячеславович,Москва,"Написание коротких сценариев ( 15-30 секунд) для TikTok аккаунтов брендов. Монтаж видео по вашим сценариям из предоставленных исходников. Опыт работы на платформе TikTok обязателен. Умение работать с приложением VideoLeap. Быть креативным, находчивым и инициативным. Опыт работы в команде...",hh.ru,https://hh.ru/vacancy/50718937?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Оператор-монтажер/оператор для онлайн школы (метро Домодедовская),50000.0,50000.0,руб.,АНО СОШ «Академическая Гимназия»,"Москва, Домодедовская",Съемка и монтаж уроков для онлайн школы. Сортировка отснятого материала. Настройка аудио и видео техники.Умение работать со съёмочным оборудованием. Умение выставлять и настраивать свет в студии. Знание на приличном уровне программы Adobe Premiere.,hh.ru,https://hh.ru/vacancy/50982003?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
SMM-менеджер,,,,ООО Фиджи Спорт Клуб,Москва,"...для постов (при необходимости). - Коммуникация и работа со съемочной группой: фотографом, видеоографом и видео-монтажером. - Постановка задач на видео-монтаж.Креативность. - Коммуникабельность. - Ответственный подход. - Понимание, что такое хороший визуал и как его достичь. - Наличие iPhone 11 (или новее) и мастерское...",hh.ru,https://hh.ru/vacancy/51441287?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
