Title,Sal_min,Sal_max,Currency,Employer,Location,Description,Resource,Link
Видеомонтажер,,,,Международная медиагруппа Россия сегодня (МИА Россия сегодня),"Москва, Парк культуры и еще 1 ","Монтаж видеороликов в Premier Pro согласно сценарному плану с использованием графического оформления. Создание видеоинфографики и Моушен-дизайна в Adobe After...Высшее или средне специальное образование по профилю. Опыт работы видеомонтажером от 3-х лет. Владение Premier Pro, Cinema 4D...",hh.ru,https://hh.ru/vacancy/50750841?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Продюсер YouTube канала агентства,100000.0,,руб.,ООО Практика,Москва,"...видео (совместно с командой). Планирование и бюджетирование работы продакшена на перспективные сроки. Визуальное оформление канала, координация продакшена с дизайнерами, монтажерами...Опыт работы в области видеопродакшена не менее 3 лет. Креативность и способность находить и видеть хиты. Понимание целевой аудитории, видение...",hh.ru,https://hh.ru/vacancy/50796761?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Файндер идей / Проект Savvy,,,,TheSoul Publishing (AdMe),Москва,"...через отдел лицензии. Составлять ТЗ монтажерам по сборке кусочков видео в целое видео. Писать несложные тексты для видео (оплачивается дополнительно).Понимает специфику нашего проекта и его контента. Уверенно пользуется соцсетями (Facebook, YouTube, TikTok и Instagram). Умеет быстро искать информацию в...",hh.ru,https://hh.ru/vacancy/50755181?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
"Видеомонтажер – моушн дизайнер (Video-Editing, Motion Design) YouTube-проекта",700.0,1000.0,USD,Interesting Facts (Холмогорцев Валентин Дмитриевич),Москва,"Поиск материала, работа с источниками. Монтаж и склейка роликов. Создание анимации для некоторых сцен. Разработка основного стиля видеоролика с качественными...Слышали об авторском праве и знаете, как проверять видео. Имеете опыт работы видеомонтажером, дизайнером, моушн-дизайнером. В сопроводительном письме предоставьте...",hh.ru,https://hh.ru/vacancy/51414698?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Монтажер,100000.0,,руб.,ООО Восхождение,Москва,"Монтаж рекламных промо-видео. Монтаж видеообзоров товаров.Уверенное знание Premiere Pro. Хорошее знание Adobe Audition (обработка голоса, удаление посторонних шумов в звуке). Хорошее знание After effects (работа...",hh.ru,https://hh.ru/vacancy/50480975?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Режиссёр монтажа YouTube-канала,40000.0,,руб.,КФХ Кхарл Груп,Москва,"Собрать из исходного материала готовые видео для YouTube выпусков. Написание сценариев, оформление видео. Чувствовать ритм и такт видео, делать из...Навыки работы в программах для монтажа (Final Cut, PremierePro, Davinci Resolve или Adobe Premiere/After Effect, Topaz Video Enhance AI...",hh.ru,https://hh.ru/vacancy/50927935?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Видеомонтажер (TikTok),,,,ТТ Media,Москва,"Отбор материала для монтажа. Монтаж видеороликов для платформы TikTok. Синхронизировать видео/аудио файлы и работать со звуком и цветокоррекцией. Опыт работы на аналогичной должности от года. Навыки владения программами для монтажа. Знание основ видеокоррекции. Креативность, коммуникабельность, творческий подход к...",hh.ru,https://hh.ru/vacancy/50953050?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Видеомонтажёр буктрейлеров,,,,"Эксмо, издательство","Москва, Полежаевская","Разработка шаблона для роликов, рекламирующих книги: поиск иллюстративного фото- и видеоматериала, передающего настроение книги и монтаж видеоролика-буктрейлера. Опыт работы в видеомонтаже и наличие портфолио. Отличное знание ПК: профессиональный Adobe СС (After Effects, Premiere, PhotoShop, Ilustrator). ",hh.ru,https://hh.ru/vacancy/51892144?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Рекрутер,40000.0,70000.0,руб.,GymTeam,Москва,"Видеопродакшен(режиссер, операторы,монтажеры). Методисты проекта. Разработчики платформы. Служба поддержки пользователей. Менеджер по подбору персонала. Оборот проекта 300 млн руб. Опыт работы в рекрутинге от года. Активная жизненная позиция и любовь к спорту. Высокая скорость работы: отбор в нашу компанию...Пользователь ПК, Грамотная речь, Подбор сотрудников, Прямой поиск, Активные продажи, Интервьюирование, Собеседование",hh.ru,https://hh.ru/vacancy/51009988?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Youtube маркетолог (Senior),60000.0,,руб.,ООО Умскул,Москва,"...концепций для видео. Планирование и бюджетирование работы продакшена на перспективные сроки. Визуальное оформление канала, координация продакшена с дизайнерами, монтажерами и...Опыт работы в области видеопродакшена не менее 3 лет. Четкое понимание алгоритмов работы youtube. Креативность и способность находить и видеть...Креативность, Работа в команде, Организаторские навыки, Видеосъемка, Написание сценариев",hh.ru,https://hh.ru/vacancy/51272867?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Исполнительный продюсер,80000.0,150000.0,руб.,CarrotMedia,"Москва, Ботанический сад и еще 2 ","Брифинг заказчика, проведение брейнстормингови и брейнштормов. Разработка креативных концептов. Креативный взгляд на картинку, видеть проект полностью и понимать все базовые...Опыт в составлении смет для средних и крупных проектов по производству корпоративного и рекламного видео. Умение находить оптимальное решение в...Управление проектами, Видеомонтаж, Креативность, amoCRM, Продюсирование, Организаторские навыки, Проведение презентаций, B2B Продажи, CRM, B2G продажи, Оценка...",hh.ru,https://hh.ru/vacancy/51829394?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
SMM-менеджер Радио Romantika и Relax FM,80000.0,,руб.,ГПМ Радио,"Москва, Тульская","Анализировать конкурентов и собственный результат. Ставить задачи дизайнерам, видеомонтажерам. Рисовать самостоятельно несложные макеты, обложки, афиши. Снимать Reels, тиктоки, stories и...С навыками работы в графических редакторах и программах для монтажа видео на компьютере и в смартфоне. Следящего за трендами в...",hh.ru,https://hh.ru/vacancy/51083539?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Контент-менеджер (копирайтер),,,,Агентство КИТ Консалт,Москва,"управление динамическим контентом сайта. - съемка материалов: написание ТЗ для подрядчиков - оператор, монтажёр (видео, анимация), графический дизайнер (создание рекламных креативов); контроль...Продвинутый пользователь ПК. - Умение работать в программах для обработки фото и видео. - Опыт ведения соцсетей с подтвержденными удачными кейсами. - Adobe Photoshop, Подготовка презентаций, Социальные сети, Ведение групп в социальных сетях, Креативность, Написание текстов, Грамотная речь, Написание статей",hh.ru,https://hh.ru/vacancy/51651379?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
"SMM-менеджер / Копирайтер, Travel",600.0,,USD,ООО Like Georgia,Москва,"Подготавливать и реализовывать рекламные материалы руками дизайнера и монтажера в команде. Вести отчетность о проделанной работе. Участвовать в брейнштормах. Оптимизм. Твой стакан всегда наполовину полон. Открытость и общительность. Любишь людей и общение с ними. Честность. Не приемлишь обман и...Креативность, Копирайтинг, SMM, Ведение переговоров, Управление проектами, Работа в команде, Написание текстов, Продвижение бренда, Ведение групп в социальных сетях",hh.ru,https://hh.ru/vacancy/51632420?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Креативный директор,,160000.0,руб.,Русклимат,"Москва, Водный стадион","Разработка позиционирования бренда и продуктов, ключевого коммуникативного сообщения. Создание сценариев для видео. Организация бренд штормов, генерация идей. Обоснованный отбор лучших...Опыт работы с 2-3-мя проектами (брендами). Наличие портфолио фото и видео. Знание основ копирайтинга. Знание рынка рекламы, технологий...Adobe Photoshop, Креативность, Управление проектами, Adobe After Effect, Дизайн",hh.ru,https://hh.ru/vacancy/51634519?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
SMM-manager,,150000.0,руб.,Школа программирования Kodland,Москва,"Писать тексты-подводки для постов/ставить задачи копирайтерам и дизайнерам. Знаешь, как снять видео ролик и работаешь с базовой анимацией. Ориентироваться на цифры: учитывать предыдущие данные, планировать и увеличивать органический охват и вовлечённость. У тебя есть опыт в маркетинге — 2...",hh.ru,https://hh.ru/vacancy/49912716?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Менеджер по продажам в очную школу,80000.0,100000.0,руб.,ООО Детейлинг Аларм,"Москва, Киевская","Помощь в ведении школьного Инстаграм, в паре с монтажером оператором: запись и выкладывание сторис, постов, накопительная запись роликов.Должен быть хороший телефон для снятия коротких видео-сторис учебного процесса школы, модель телефона не ниже 10 айфона. Грамотная речь, Работа в команде, Деловое общение, Телефонные переговоры, Грамотность, B2C продажи, Отчетность, Проведение опросов клиентов",hh.ru,https://hh.ru/vacancy/51540068?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Ассистент Production отдела,35000.0,50000.0,руб.,Школа программирования Kodland,"Москва, Белорусская","Помощь продюсеру в ведении всех этапов продакшна видео- и фото- проектов. Коммуникация по проекту. Проведение кастингов и отбор монтажёров/операторов. Быть активным и инициативным. Терпение, четкость, структурированность, педантичность. Грамотная речь. Харизма и чувство юмора. Общительный. Очень внимательный и собранный. Работа в команде, Креативность, Видеосъемка, Организация мероприятий, Управление проектами",hh.ru,https://hh.ru/vacancy/51486776?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Маркетинг - менеджер по международным проектам,,,,ООО Мир Хобби,"Москва, Бауманская","Маркетинговые материалы- каталоги, брифы, видео- ролики (создание ТЗ, работа с дизайнером или монтажером). Участие в тестировании новых проектов, прототипов, участие...Знание английского языка свободно. Знание рынка настольных игр обязательно и основных зарубежных порталов по ним. Коммуникабельность.Английский язык, PR, Организация выставок",hh.ru,https://hh.ru/vacancy/50771526?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Младший продюсер,,,,Корпорация СИНЕРГИЯ,"Москва, Таганская","Формирование сырьевого контента (организация съемочного процесса, постановка тз монтажёру, прием монтажа, контроль хранения и распространение видео). Прием, систематизация, перенаправление всех...Опыт работы в образовательной сфере или иметь опыт работы в кинотеатральной сфере. Знание основ делопроизводства и бюджетирования.Управление проектами, Организаторские навыки, Креативность, Adobe Photoshop, Деловая коммуникация",hh.ru,https://hh.ru/vacancy/51412758?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Ведущий специалист по разработке онлайн-курсов (Продюсер онлайн-курсов),,80000.0,руб.,Центр ИТ-исследований и экспертизы в Российской Академии народного хозяйства и государственной службы при Президенте РФ,Москва,"Общая координация работ (авторы, дизайнеры, операторы, монтажеры, сборщики курсов) по производству онлайн-курсов. Полный цикл курирования видеопроизводства и подготовки графического...Знание технологий дистанционного обучения (вебинары, скринкасты, интерактивное видео, онлайн-трансляций и прочее). Личный опыт участия в массовых открытых онлайн-курсах...",hh.ru,https://hh.ru/vacancy/51366273?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
SMM-менеджер,,,,Rutube,"Москва, Проспект Мира и еще 1 ","Формировать техническое задание команде дизайнеров, креаторам и монтажерам для реализации стратегии и контент-плана. Вести и развивать аккаунт бренда в...Опыт работы на аналогичной/смежной должности от 1 года. Свободное ориентирование в знании алгоритмов соцсетей. Способность творчески и нестандартно мыслить. SMO, Лидогенерация, SMM, Аудит SMM, Ведение групп в социальных сетях",hh.ru,https://hh.ru/vacancy/50447142?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Художественный фотограф,,,,Бронницкий Ювелир,"Москва, Серпуховская","Осуществление художественной съемки ювелирных изделий. Создание и монтаж видео-контента. Подготовка сценария съемки, при необходимости организация съемочного процесса как в...Успешный опыт в управлении людьми как удалёнными, так и штатными сотрудниками (фотографы, видео-операторы, монтажеры, ретушеры). Знания процессов по обработке...Adobe Photoshop, Видеосъемка, Ретушь, Предметная фотосъемка, Обработка изображений, Видеомонтаж, Обработка видео, Фотография",hh.ru,https://hh.ru/vacancy/50344855?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Специалист по поиску идей для Joyful,,,,TheSoul Publishing (AdMe),Москва,"Составлять ТЗ монтажерам по сборке кусочков видео в целое. Писать несложные тексты для видео на английском (оплачивается дополнительно).Понимает специфику канала и контента. Уверенный пользователь соцсетей. Понимает «вирусность» контента. Усидчивый и упорный. Знает английский язык не ниже уровня...Английский язык, Креативность, Поиск информации в интернет, Написание текстов, Работа с большим объемом информации",hh.ru,https://hh.ru/vacancy/50232512?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Продюсер съемок / менеджер проекта,80000.0,,руб.,ООО МЭНИВЕЙЗ НЕТВОРК,Москва,"Самостоятельный поиск и подбор внештатных исполнителей (сценаристы, операторы, режиссеры, режиссеры монтажа, CG специалисты, саунд-дизайнеры, иллюстраторы, моушн-дизайнеры и тд...Грамотный русский язык (устный и письменный). Имеешь режиссерский опыт в кино, рекламе или музыкальных видео. Любишь и умеешь общаться и...Креативность, Организаторские навыки, Работа в команде, Грамотная речь, Ведение переговоров, Управление проектами, Грамотность, Деловая коммуникация, Кинопроизводство, Подготовка отчетов",hh.ru,https://hh.ru/vacancy/51020982?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Online Event Manager (Продюсер онлайн-мероприятий),,,,Лаборатория Касперского,"Москва, Водный стадион","Техническая организация онлайн-мероприятий: конференций, вебинаров в формате онлайн и гибрид. Самостоятельное ведение эфиров на различных платформах – от настройки оборудования...Знание рынка (тех. команды, узкие специалисты (застройщики, дизайнеры, инженеры, видеооператоры, монтажеры и т.д.) будет преимуществом'. Опыт работы в программах...Английский язык, Грамотная речь, Управление проектами, Организаторские навыки, Adobe Premier Pro",hh.ru,https://hh.ru/vacancy/50986637?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Продюсер онлайн-курсов,,,,Корпорация СИНЕРГИЯ,"Москва, Сокол","Контроль процесса выпуска образовательных курсов по требованиям Университета (видео, текст, тестовые материалы). Разработка сценариев для создания образовательных курсов. Крайне желателен опыт производства образовательного контента / курсов в направлении дополнительного профессионального образования - как преимущество. Понимание технологии разработки продуктов онлайн-образования. Обучение и развитие, Управленческие навыки, Анализ рынка, Аналитическое мышление, Стратегическое мышление",hh.ru,https://hh.ru/vacancy/50974839?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
"Помощник руководителя видео-проекта ""Рациональный Ремонт""",80000.0,,руб.,ООО СТРОИТЕЛЬНЫЙ ЭКСПЕРТ,"Москва, Алексеевская","Организация съемок (выбор локации, взаимодействие с операторами и ведущими, поиск подрядчиков). - Контроль постпродакшена: взаимодействие с монтажерами, согласование материалов с клиентами. - Участие в съемках в качестве ведущего (по желанию).",hh.ru,https://hh.ru/vacancy/50925301?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
